year,Seasons,Districts,Crop_Type,Production,Arable_Size
2018,Season A,Nyarugenge,Maize,373.8020268,396.7674
2018,Season A,Nyarugenge,Sorghum,NA,NA
2018,Season A,Nyarugenge,Paddy rice,NA,NA
2018,Season A,Nyarugenge,Wheat,NA,NA
2018,Season A,Nyarugenge,Other Cereals,0.529537289,1.085725
2018,Season A,Nyarugenge,Cassava,1487.351388,911.4414
2018,Season A,Nyarugenge,Sweet potatoes,1690.601806,267.0701
2018,Season A,Nyarugenge,Irish potatoes,66.0335343,17.98436
2018,Season A,Nyarugenge,Yams & Taro,211.5715629,87.31975
2018,Season A,Nyarugenge,Cooking Banana,2026.677401,262.2998
2018,Season A,Nyarugenge,Dessert banana,334.9145464,127.5353
2018,Season A,Nyarugenge,Banana for beer,4167.055155,1059.111
2018,Season A,Nyarugenge,Legumes and Pulses,906.5620916,1223.047097
2018,Season A,Nyarugenge,Bush bean,852.1644815,1111.957
2018,Season A,Nyarugenge,Small red bean,NA,NA
2018,Season A,Nyarugenge,Climbing bean,10.56269288,13.17044
2018,Season A,Nyarugenge,Peas,1.088167102,0.7397465
2018,Season A,Nyarugenge,Ground nuts,14.76576032,40.80169
2018,Season A,Nyarugenge,Soya beans,27.9809898,56.37822
2018,Season A,Nyarugenge,Vegetables,3056.484999,248.3417
2018,Season A,Nyarugenge,Fruits,350.8586863,23.46702
2018,Season A,Nyarugenge,Fodder crops,31740.55177,407.742
2018,Season A,Nyarugenge,Other crops,9333.687754,718.9573
2018,Season A,Gasabo,Maize,4851.290334,3768.28504
2018,Season A,Gasabo,Sorghum,NA,NA
2018,Season A,Gasabo,Paddy rice,284.04682,102.2096
2018,Season A,Gasabo,Wheat,NA,NA
2018,Season A,Gasabo,Other Cereals,54.03025356,27.27806
2018,Season A,Gasabo,Cassava,4497.964873,2614.624
2018,Season A,Gasabo,Sweet potatoes,11055.62435,1300.898452
2018,Season A,Gasabo,Irish potatoes,1884.222853,358.2956222
2018,Season A,Gasabo,Yams & Taro,97.15206544,42.51365
2018,Season A,Gasabo,Cooking Banana,3420.811351,951.035133
2018,Season A,Gasabo,Dessert banana,3135.685705,598.1968
2018,Season A,Gasabo,Banana for beer,1719.640378,713.8561439
2018,Season A,Gasabo,Legumes and Pulses,8737.2711,8623.654655
2018,Season A,Gasabo,Bush bean,7828.340773,7421.818229
2018,Season A,Gasabo,Small red bean,3.09285253,NA
2018,Season A,Gasabo,Climbing bean,83.24355616,91.65374
2018,Season A,Gasabo,Peas,114.6771087,177.71968
2018,Season A,Gasabo,Ground nuts,385.5281743,504.0785057
2018,Season A,Gasabo,Soya beans,325.4814882,428.3845
2018,Season A,Gasabo,Vegetables,4909.161817,523.04834
2018,Season A,Gasabo,Fruits,262.6055062,4.591262
2018,Season A,Gasabo,Fodder crops,35147.17587,1381.0911
2018,Season A,Gasabo,Other crops,630.3857373,433.7034
2018,Season A,Kicukiro,Maize,1570.49219,979.85413
2018,Season A,Kicukiro,Sorghum,NA,NA
2018,Season A,Kicukiro,Paddy rice,NA,NA
2018,Season A,Kicukiro,Wheat,NA,NA
2018,Season A,Kicukiro,Other Cereals,0.200056498,1.865193
2018,Season A,Kicukiro,Cassava,378.0725321,433.8247
2018,Season A,Kicukiro,Sweet potatoes,3546.238203,623.8649293
2018,Season A,Kicukiro,Irish potatoes,75.68723243,44.85911
2018,Season A,Kicukiro,Yams & Taro,140.098931,34.71972
2018,Season A,Kicukiro,Cooking Banana,2820.498915,429.409742
2018,Season A,Kicukiro,Dessert banana,1151.075509,212.937512
2018,Season A,Kicukiro,Banana for beer,2495.204521,595.0090588
2018,Season A,Kicukiro,Legumes and Pulses,897.3074115,1589.635999
2018,Season A,Kicukiro,Bush bean,709.2579811,1408.831399
2018,Season A,Kicukiro,Small red bean,NA,NA
2018,Season A,Kicukiro,Climbing bean,11.33592745,25.06591
2018,Season A,Kicukiro,Peas,4.023137335,10.20207
2018,Season A,Kicukiro,Ground nuts,30.10070411,63.51788
2018,Season A,Kicukiro,Soya beans,142.5896615,82.01874
2018,Season A,Kicukiro,Vegetables,1906.309612,158.712456
2018,Season A,Kicukiro,Fruits,689.7639859,33.045815
2018,Season A,Kicukiro,Fodder crops,335.0212613,98.4948856
2018,Season A,Kicukiro,Other crops,118.7997425,54.380912
2018,Season A,Nyanza,Maize,7875.335539,4449.224
2018,Season A,Nyanza,Sorghum,1659.905105,1064.024
2018,Season A,Nyanza,Paddy rice,473.67036,152.71596
2018,Season A,Nyanza,Wheat,NA,NA
2018,Season A,Nyanza,Other Cereals,200.7621135,259.2415
2018,Season A,Nyanza,Cassava,6628.074569,10586.82
2018,Season A,Nyanza,Sweet potatoes,23340.37349,2349.24253
2018,Season A,Nyanza,Irish potatoes,2233.670156,578.404
2018,Season A,Nyanza,Yams & Taro,2865.822657,135.6379
2018,Season A,Nyanza,Cooking Banana,2394.416695,541.409175
2018,Season A,Nyanza,Dessert banana,3923.823225,1903.982368
2018,Season A,Nyanza,Banana for beer,7346.58058,2453.501368
2018,Season A,Nyanza,Legumes and Pulses,12419.21471,16917.71258
2018,Season A,Nyanza,Bush bean,9804.633205,12294.44098
2018,Season A,Nyanza,Small red bean,13.9511375,NA
2018,Season A,Nyanza,Climbing bean,1261.889972,1855.2
2018,Season A,Nyanza,Peas,356.8204528,560.1956
2018,Season A,Nyanza,Ground nuts,630.3484297,1205.039
2018,Season A,Nyanza,Soya beans,365.5226542,1002.837
2018,Season A,Nyanza,Vegetables,695.0922841,169.588783
2018,Season A,Nyanza,Fruits,NA,132.1975
2018,Season A,Nyanza,Fodder crops,1176.49524,194.421
2018,Season A,Nyanza,Other crops,1753.129859,2479.377388
2018,Season A,Gisagara,Maize,16057.31399,7272.001
2018,Season A,Gisagara,Sorghum,241.5673232,140.2663
2018,Season A,Gisagara,Paddy rice,8904.606101,2999.165
2018,Season A,Gisagara,Wheat,NA,NA
2018,Season A,Gisagara,Other Cereals,323.7310194,717.9321
2018,Season A,Gisagara,Cassava,1399.199219,4061.001
2018,Season A,Gisagara,Sweet potatoes,14564.26202,2482.82645
2018,Season A,Gisagara,Irish potatoes,1127.775711,301.8792
2018,Season A,Gisagara,Yams & Taro,327.7940397,198.0643
2018,Season A,Gisagara,Cooking Banana,2033.68014,1087.13738
2018,Season A,Gisagara,Dessert banana,1714.46348,932.9942
2018,Season A,Gisagara,Banana for beer,8254.295191,5113.430761
2018,Season A,Gisagara,Legumes and Pulses,14946.36716,13921.44084
2018,Season A,Gisagara,Bush bean,12509.6312,10832.80668
2018,Season A,Gisagara,Small red bean,17.06314585,NA
